"BehaviorSpace results (NetLogo 5.2.0)"
"Ant2.nlogo"
"Unit1BegExp1"
"07/18/2015 16:44:55:293 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","max-step-size","max-turn-angle","[step]","ticks"
"866","50","4","60","284","284"
"865","50","4","60","368","368"
"867","50","4","60","420","420"
"868","50","4","60","297","297"
"869","50","4","60","425","425"
"870","50","4","60","447","447"
"871","50","4","60","419","419"
"873","50","4","60","324","324"
"872","50","4","60","465","465"
"874","50","4","60","357","357"
"875","50","4","60","306","306"
"876","50","4","60","370","370"
"877","50","4","60","430","430"
"878","50","4","60","513","513"
"880","50","4","60","373","373"
"879","50","4","60","376","376"
"881","50","4","60","392","392"
"882","50","4","60","335","335"
"883","50","4","60","415","415"
"884","50","4","60","390","390"
"885","50","4","60","573","573"
"886","50","4","60","419","419"
"887","50","4","60","354","354"
"888","50","4","60","407","407"
"889","50","4","60","425","425"
"891","50","4","60","307","307"
"890","50","4","60","445","445"
"892","50","4","60","368","368"
"893","50","4","60","336","336"
"894","50","4","60","374","374"
"896","50","4","60","266","266"
"895","50","4","60","384","384"
"897","50","4","60","498","498"
"899","50","4","60","321","321"
"898","50","4","60","401","401"
"900","50","4","60","285","285"
"901","50","4","60","377","377"
"902","50","4","60","416","416"
"903","50","4","60","317","317"
"904","50","4","60","443","443"
"905","50","4","60","414","414"
"906","50","4","60","562","562"
"908","50","4","60","295","295"
"907","50","4","60","416","416"
"909","50","4","60","352","352"
"911","50","4","60","341","341"
"910","50","4","60","458","458"
"912","50","4","60","308","308"
"914","50","4","60","392","392"
"915","50","4","60","324","324"
"913","50","4","60","531","531"
"916","50","4","60","333","333"
"918","50","4","60","459","459"
"917","50","4","60","346","346"
"919","50","4","60","336","336"
"920","50","4","60","341","341"
"921","50","4","60","592","592"
"922","50","4","60","478","478"
"923","50","4","60","488","488"
"925","50","4","60","332","332"
"924","50","4","60","399","399"
"926","50","4","60","359","359"
"927","50","4","60","332","332"
